"%s already exist","%s existent déjà"
"%s already exists","%s existe déjà"
"-- Please Select --","-- Votre choix --"
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Veuillez ne saisir que des nombres dans ce champ. Merci d'éviter les espaces ou autres caractères tels que points ou virgules."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Veuillez ne saisir que des lettres (a-z) ou des chiffres (0-9) dans ce champ. Les espaces et autres caractères ne sont pas autorisés."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Veuillez ne saisir que des lettres (a-z) ou des chiffres (0-9) ou des espaces ou des dièses (#) dans ce champ."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Veuillez ne saisir que des lettres (a-z), des chiffres (0-9) ou underscore (_) dans ce champ. Le premier caractère doit être une lettre."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Veuillez utiliser le format de date suivant : jj/mm/aaaa. Par exemple, 17/03/2006 pour le 17 mars 2006."
"Please wait, loading...","Veuillez patienter, chargement en cours..."
"Polls","Sondages"
"Port (25)","Port (25)"
"Profiler","Profileur"
"Request path for specified store","Chemin de requête pour le magasin spécifié"
"Requested invalid store ""%s""","Le magasin demandé n'est pas valide : ""%s"""
"Resource is not set","La ressource n'est pas configurée"
"Root Category","Catégorie racine"
"SMTP settings (Windows server only)","Paramètres SMTP (serveur Windows seulement)"
"Sales representative","Représentant des ventes"
"Save","Sauvegarder"
"Save Store","Sauvegarder le magasin"
"Save Store View","Sauvegarder la vue magasin"
"Save Website","Sauvegarder le site web"
"Search Engines Optimization","Optimisation pour les moteurs de recherche"
"Secure","Sécurisé"
"Sender email","Mail de l'expéditeur"
"Sender name","Nom de l'expéditeur"
"Services","Services"
"Session Cookie management","Gestion des cookies de session"
"Set as default","Valeur par défaut"
"Skin (Images / CSS)","Habillage (Images / CSS)"
"Sort order","Ordre de tri"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","La date/heure spécifiée ""%1$s"" ne correspond pas au format ""%é$s"""
"Start date can\'t be greater than end date","La date de début ne peut pas être postérieure à la date de fin"
"Start date can't be greater than end date","La date de début ne peut pas être postérieure à la date de fin"
"Startup page","Page de démarrage"
"Status","Statut"
"Store","Magasin"
"Store Email Addresses","Adresses mail du magasin"
"Store Information","Informations magasin"
"Store Name","Nom magasin"
"Store View Information","Information de vue magasin"
"Store View Name","Nom de vue magasin"
"Store View not exists","La vue magasin n'existe pas"
"Store View was successfully deleted.","La vue magasin a bien été effacée"
"Store View was successfully saved","La vue magasin a bien été sauvegardée"
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Le code de magasin ne doit contenir que des lettres (a-z), des chiffres (0-9) ou des underscores (_), et le premier caractère doit être une lettre"
"Store not exists","Le magasin n'existe pas"
"Store was successfully deleted.","Le magasin a bien été supprimé"
"Store was successfully saved","Le magasin a bien été sauvegardé"
"Store with the same code","Magasin avec le même code"
"Stores","Magasins"
"System","Système"
"Template Path Hints","Astuce chemin des gabarits"
"Templates","Gabarits"
"Themes","Thèmes"
"This Store View cannot be deleted","Cette vue magasin ne peut pas être supprimée"
"This Store View cannot be deleted.","Cette vue magasin ne peut pas être supprimée."
"This Store cannot be deleted","Ce magasin ne peut pas être supprimé"
"This Store cannot be deleted.","Ce magasin ne peut pas être supprimé."
"This Website cannot be deleted","Ce site web ne peut pas être supprimé"
"This Website cannot be deleted.","Ce site web ne peut pas être supprimé."
"This category and all its child elements","Cette catégorie et tous ses descendants"
"This category and its child categories only","Cette catégorie et toutes ses sous-catégories"
"This category and its products only","Cette catégorie et ses produits seulement"
"This category only","Cette catégorie seulement"
"This is a required field.","Ce champ est obligatoire."
"Timezone","Fuseau horaire"
"Translations","Traductions"
"Unable to create backup. Please, try again later.","Impossible de faire une sauvegarde. Veuillez réessayer ultérieurement."
"Unable to delete Store View. Please, try again later.","Impossible d'effacer la vue magasin. Veuillez réessayer ultérieurement."
"Unable to delete Store. Please, try again later.","Impossible d'effacer le magasin. Veuillez réessayer ultérieurement."
"Unable to delete Website. Please, try again later.","Impossible d'effacer le site web. Veuillez réessayer ultérieurement."
"Unable to proceed. Please, try again","Impossible de continuer. Veuillez réessayer ultérieurement."
"Unknown scope ""%s""","Portée ""%s"" inconnue"
"Unsecure","Non sécurisé"
"Url Options","Options d'URL"
"Use Secure URLs in Admin","Utiliser des URLs sécurisées dans l'administration"
"Use Secure URLs in Frontend","Utiliser des URLs sécurisées sur le frontend"
"Use Web Server Rewrites","Utiliser les réécriture du serveur web"
"Use custom admin URL","Utiliser une URL d'admin personnalisée"
"Web","Web"
"Website","Site web"
"Website Information","Informations site web"
"Website Name","Nom du site web"
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Le site web ne doit contenir que des lettres (a-z), des chiffres (0-9) ou des underscores (_), et le premier caractère doit être une lettre"
"Website not exists","Le site web n'existe pas"
"Website was successfully deleted.","Le site web a bien été supprimé"
"Website was successfully saved","Le site web a bien été sauvegardé"
"Website with the same code","Site web avec le même code"
"Wrong number of arguments for %s","Nombre d'arguments erroné pour %s"
"Your order can not be completed at this time as there is no payment methods available for it.","Impossible de terminer votre commande pour le moment, il n'y a pas de mode de paiement disponible."
"Your order can not be completed at this time as there is no shipping methods available for it. Please make neccessary changes in your shipping address.","Impossible de terminer votre commande pour le moment, il n'y a pas de mode de livraison disponible pour cette destination. Vous pouvez modifier l'adresse de livraison pour continuer."
"Your session has been expired, you will be relogged in now.","Votre session a expiré, vous allez maintenant être reconnecté."
"located in {{base_dir}}/var/log","situé dans {{base_dir}}/var/log"
"Translate cache should be disabled for both Frontend and Admin inline translations","Le cache des traductions doit être désactivé pour les traductions en ligne"
"Search","Rechercher"
"Compare Products - %d Items","%d article(s) à comparer"
"* Required Fields","* Champs obligatoires"
"Admin User","Administrateur"
"Go","Aller à"
"You have no items to compare.","Aucun article à comparer"
"This category and its child categories","Cette catégorie et ses catégories filles"
"This category and its products","Cette catégorie et ses produits"
"Target path for specified store","Chemin cible pour les magasins spécifiés"
"Comment","Commentaire"
"Compare Products","Comparer des produits"
"Compare Items","Comparer les articles"
"Contact Us","Contactez-nous"
"Email","Email"
"Keep your eyes open for our special Back to School items and save A LOT!","Garder les yeux ouverts et faites un MAX d'économies !"
"Contact Information","Informations de contact"
"Invalid base dir type specified: %s","Le type de répertoire de base spécifié est non valide : %s"
"Base directory","Répertoire de base"
"Skin directory","Répertoire de l'habillage"
"Media files directory","Répertoire des fichiers de media"
"Session files directory","Répertoire des fichiers de session"
"Code pools root directory","Répertoire racine de réservoirs de code"
"Var (temporary files) directory","Répertoire var (fichiers temporaires)"
"Remove This Item","Supprimer cet article"
"Clear All Items","Supprimer tous les articles"
"Filesystem","Système de fichiers"
"Telephone","Téléphone"
"All","Tous"
"Submit","Valider"
"Your order has been received","Votre commande a bien été reçue"
"Your order # is: %s","Votre numéro de commande est : %s"
"You will receive an order confirmation email with details of your order and a link to track its progress.","Vous recevrez un email de confirmation de commande avec les détails de votre commande ainsi qu'un lien pour suivre son statut."
